timestamp,HR,HRV,Stress_Index,Label,Trend,User_Comment
1769024825.8526592,0,0,0.0,L,Stable,
1769024826.8655849,91.42857142857143,0.0,91428571.42857143,H,Increasing,
1769024827.8696804,147.69230769230768,0.0,147692307.69230768,H,Increasing,
1769024828.873222,0,0,0.0,L,Decreasing,
1769024829.881999,132.41379310344828,0.03125,4237.105791925003,H,Increasing,
1769024830.9005785,142.22222222222223,0.0,142222222.22222224,H,Increasing,
1769024831.9069386,93.65853658536585,0.0,93658536.58536586,H,Decreasing,
1769024832.9154916,142.22222222222223,0.0,142222222.22222224,H,Increasing,
1769024833.9299283,147.69230769230768,0.0,147692307.69230768,H,Increasing,
1769024834.9327466,120.0,0.0,120000000.0,H,Decreasing,
1769024835.936506,132.41379310344828,0.015625,8473.940426433397,H,Decreasing,
1769024836.948021,142.22222222222223,0.0,142222222.22222224,H,Increasing,
1769024837.9701252,132.41379310344828,0.0,132413793.10344829,H,Decreasing,
1769024838.9865317,142.22222222222223,0.0,142222222.22222224,H,Increasing,
1769024840.0013363,128.0,0.03125,4095.8689321941697,H,Decreasing,
1769024841.0189943,83.47826086956522,0.0,83478260.86956522,H,Increasing,
1769024842.0289958,147.69230769230768,0.0,147692307.69230768,H,Increasing,
1769024843.0427692,83.47826086956522,0.0,83478260.86956522,H,Decreasing,
1769024844.0625796,142.22222222222223,0.0,142222222.22222224,H,Increasing,
1769024845.0820317,128.0,0.0,128000000.0,H,Decreasing,
1769024846.101063,147.69230769230768,0.0,147692307.69230768,H,Increasing,
1769024847.1208878,125.90163934426229,0.0703125,1790.5756269317028,H,Decreasing,
1769024848.14083,142.22222222222223,0.015625,9101.639717280315,H,Increasing,
1769024849.1608412,93.65853658536585,0.0,93658536.58536586,H,Increasing,
1769024850.162433,139.63636363636363,0.0078125,17871.16703607393,H,Decreasing,
1769024851.1822255,142.22222222222223,0.0,142222222.22222224,H,Increasing,
1769024852.2010398,123.87096774193549,0.0,123870967.74193549,H,Decreasing,
1769024853.221875,142.22222222222223,0.0,142222222.22222224,H,Increasing,
1769024854.2317917,83.47826086956522,0.0,83478260.86956522,H,Decreasing,
1769024855.334887,80.0,0.0,80000000.0,H,Decreasing,
1769024856.3712914,139.63636363636363,0.0078125,17871.16703607393,H,Decreasing,
1769024857.3789492,106.66666666666667,0.0,106666666.66666667,H,Increasing,
1769024858.3889048,116.36363636363636,0.0,116363636.36363636,H,Increasing,
1769024859.4164994,80.0,0.0,80000000.0,H,Decreasing,
1769024860.425784,112.94117647058823,0.0,112941176.47058824,H,Increasing,
1769024861.4330373,147.69230769230768,0.0,147692307.69230768,H,Increasing,
1769024862.4558792,128.0,0.0,128000000.0,H,Decreasing,
1769024863.4610999,144.9056603773585,0.0078125,18545.550697812567,H,Decreasing,
1769024864.4696825,144.9056603773585,0.0078125,18545.550697812567,H,Stable,
1769024865.492049,89.30232558139535,0.0,89302325.58139536,H,Increasing,
1769024866.5019276,91.42857142857143,0.0,91428571.42857143,H,Increasing,
1769024867.510396,139.63636363636363,0.0078125,17871.16703607393,H,Decreasing,
1769024868.5337234,134.73684210526315,0.0234375,5748.526659353762,H,Decreasing,
1769024869.5467758,139.63636363636363,0.0078125,17871.16703607393,H,Increasing,
1769024870.5506608,142.22222222222223,0.015625,9101.639717280315,H,Decreasing,
1769024871.5647404,78.36734693877551,0.0,78367346.93877551,H,Increasing,
1769024872.5698578,83.47826086956522,0.0,83478260.86956522,H,Increasing,
1769024873.5790808,91.42857142857143,0.0,91428571.42857143,H,Increasing,
1769024874.5912771,144.9056603773585,0.0078125,18545.550697812567,H,Decreasing,
1769024875.6019812,106.66666666666667,0.0,106666666.66666667,H,Increasing,
1769024876.608687,137.14285714285714,0.0,137142857.14285713,H,Increasing,
1769024877.6096325,91.42857142857143,0.0,91428571.42857143,H,Decreasing,
1769024878.613507,103.78378378378379,0.0,103783783.7837838,H,Increasing,
1769024879.6211658,93.65853658536585,0.0,93658536.58536586,H,Decreasing,
1769024880.6272516,120.0,0.0,120000000.0,H,Increasing,
1769024881.6428695,142.22222222222223,0.0,142222222.22222224,H,Increasing,
